category,anchor,name,affiliation,profile,talk_title,abstract,message,image,link,link_label
招待講演,speaker-1,荒木 健太郎,気象庁気象研究所 台風・災害気象研究部第二研究室 主任研究官,気象庁気象研究所 台風・災害気象研究部第二研究室 主任研究官,雲研究者という生き方,みなさんは楽しい人生を送っていますか？　「研究者」は職業として語られることが多いですが，私は生き方の一つだと考えています．私自身はかなり特殊な研究者だと自認しており，体験談がみなさんの参考になるのかはまったくわかりませんが，手法や考え方に関しては多少使えるところがあるかもしれません．というわけで，これまで取り組んできた実態解明研究や観測技術開発の考え方の話をしつつ，いかに楽しく生きるかをみなさんと一緒に考えたいと思います．,当日はぜひ学生のみなさんのお話も聞かせてください．脳汁の溢れる研究談義ができることを楽しみにしています．,https://www.mri-jma.go.jp/Dep/typ/araki/data/araki.jpg,,
招待講演,speaker-2,日下 博幸,筑波大学 計算科学研究センター 教授,筑波大学 計算科学研究センター 教授,卒業研究から始まった研究人生 ― 学生時代、企業研究所、そして世界へ ―,卒業研究に夢中になったことが、私の研究者人生の出発点でした。卒業研究、修士研究、民間企業の研究所、そして米国NCARでの研究は、私が研究者として成長していくうえで大切な時期でした。それぞれの時期を振り返りながら、何を考え、どのような選択をしてきたのかをお話しします。恩師や国内外の研究者との出会いから学んだことや、世界の研究者と協力して研究を進める面白さ、学生時代に大切にしてほしいことについてもお話しします。また、企業研究者として得た経験や海外での研究生活が、その後の研究や国際的な活動にどのようにつながったのかもご紹介します。,研究も進路も一本道ではありません。人との出会いが思いがけない道を開くこともあります。3日間、みんなで語り合いましょう。,assets/images/Kusaka-Hiroyuki.jpg,,
