date,title,body
2026-04-07,webページテスト公開,webページのテスト公開を行いました。
2026-04-11,基本情報を更新しました,開催日程を2026年9月4日(金)～9月6日(日)まで、会場を大子町営研修センターとして公開しました。
2026-05-26,協賛情報を更新しました,協賛のご案内、申し込みフォームを公開しました。
2026-06-30,参加申し込み情報とFAQを更新しました,参加費、参加申し込みの期限等に関する情報、およびFAQを公開しました。
2026-07-01,参加申し込みの受付を開始しました,詳細は[参加申し込みページ](registration.html)をご確認ください。
2026-07-09,招待講演の情報を公開しました,招待講演をしてくださる先生方の情報を公開しました。詳細は[招待講演ページ](invited.html)をご確認ください。
2026-07-22,スケジュールを更新しました,開催スケジュールを公開しました。詳細は[スケジュールページ](schedule.html)をご確認ください。
2026-07-22,参加申し込みを終了しました,参加申し込みの受付を終了しました。たくさんのお申し込みをしていただき、どうもありがとうございました。
2026-08-07,会場情報を更新しました,1日目の受付・開校式と3日目の招待講演・閉校式は、大子町文化福祉会館「まいん」で行います。詳細は[会場・アクセスページ](access.html)をご確認ください。
